harga,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,garasi,kota
1500000000.0,136.0,100.0,4.0,3.0,2.0,Bekasi
300000000.0,36.0,60.0,2.0,1.0,1.0,Bekasi
365000000.0,36.0,60.0,2.0,1.0,0.0,Bekasi
350000000.0,38.0,60.0,2.0,1.0,0.0,Bekasi
351000000.0,38.0,60.0,2.0,1.0,0.0,Bekasi
393000000.0,36.0,60.0,2.0,1.0,0.0,Bekasi
392000000.0,36.0,72.0,2.0,1.0,0.0,Bekasi
440000000.0,36.0,66.0,2.0,1.0,1.0,Bekasi
351000000.0,38.0,60.0,2.0,1.0,0.0,Bekasi
401000000.0,38.0,66.0,2.0,1.0,0.0,Bekasi
1990000000.0,216.0,160.0,4.0,4.0,0.0,Bekasi
1150000000.0,126.0,126.0,3.0,2.0,0.0,Bekasi
950000000.0,87.0,66.0,3.0,2.0,1.0,Bekasi
1500000000.0,80.0,126.0,2.0,2.0,0.0,Bekasi
1250000000.0,56.0,84.0,2.0,2.0,1.0,Bekasi
1200000000.0,200.0,152.0,5.0,3.0,1.0,Bekasi
850000000.0,60.0,90.0,2.0,1.0,0.0,Bekasi
1280000000.0,120.0,139.0,3.0,2.0,1.0,Bekasi
895000000.0,90.0,58.0,3.0,3.0,1.0,Bekasi
1450000000.0,225.0,131.0,4.0,3.0,1.0,Bekasi
1300000000.0,90.0,126.0,2.0,1.0,0.0,Bekasi
690000000.0,60.0,90.0,2.0,2.0,0.0,Bekasi
950000000.0,120.0,90.0,2.0,1.0,1.0,Bekasi
1350000000.0,160.0,90.0,4.0,3.0,1.0,Bekasi
1000000000.0,120.0,138.0,3.0,2.0,1.0,Bekasi
2850000000.0,216.0,160.0,3.0,3.0,1.0,Bekasi
1150000000.0,52.0,78.0,3.0,2.0,0.0,Bekasi
342000000.0,63.0,36.0,2.0,1.0,1.0,Bekasi
327000000.0,60.0,36.0,2.0,1.0,1.0,Bekasi
975000000.0,70.0,90.0,2.0,1.0,0.0,Bekasi
975000000.0,70.0,90.0,3.0,2.0,0.0,Bekasi
1370000000.0,100.0,105.0,4.0,3.0,0.0,Bekasi
1370000000.0,100.0,105.0,4.0,3.0,0.0,Bekasi
2150000000.0,157.0,144.0,3.0,3.0,0.0,Bekasi
2150000000.0,157.0,144.0,3.0,3.0,0.0,Bekasi
2150000000.0,157.0,144.0,3.0,3.0,0.0,Bekasi
1200000000.0,94.0,126.0,3.0,2.0,0.0,Bekasi
1550000000.0,228.0,114.0,2.0,3.0,1.0,Bekasi
1250000000.0,69.0,108.0,2.0,2.0,0.0,Bekasi
168000000.0,29.0,60.0,2.0,1.0,1.0,Bekasi
1400000000.0,77.0,144.0,3.0,1.0,0.0,Bekasi
799000000.0,140.0,77.0,3.0,2.0,0.0,Bekasi
779000000.0,63.0,54.0,3.0,2.0,0.0,Bekasi
775000000.0,60.0,66.0,2.0,1.0,0.0,Bekasi
2150000000.0,157.0,144.0,3.0,3.0,2.0,Bekasi
779000000.0,53.0,63.0,3.0,2.0,0.0,Bekasi
1750000000.0,56.0,179.0,2.0,2.0,0.0,Bekasi
750000000.0,75.0,94.0,2.0,1.0,0.0,Bekasi
1250000000.0,136.0,125.0,5.0,4.0,1.0,Bekasi
870000000.0,70.0,94.0,3.0,2.0,0.0,Bekasi
1500000000.0,80.0,126.0,2.0,2.0,0.0,Bekasi
1500000000.0,105.0,105.0,3.0,2.0,0.0,Bekasi
1300000000.0,90.0,90.0,2.0,2.0,0.0,Bekasi
1300000000.0,90.0,90.0,2.0,2.0,0.0,Bekasi
1800000000.0,80.0,133.0,2.0,2.0,1.0,Bekasi
520000000.0,60.0,36.0,3.0,1.0,1.0,Bekasi
1300000000.0,56.0,84.0,2.0,2.0,0.0,Bekasi
685000000.0,110.0,94.0,2.0,1.0,1.0,Bekasi
930000000.0,70.0,105.0,2.0,1.0,1.0,Bekasi
685000000.0,110.0,94.0,2.0,1.0,1.0,Bekasi
2100000000.0,150.0,180.0,4.0,3.0,0.0,Bekasi
520000000.0,45.0,60.0,3.0,1.0,0.0,Bekasi
520000000.0,45.0,60.0,3.0,1.0,0.0,Bekasi
1200000000.0,63.0,119.0,2.0,1.0,1.0,Bekasi
1200000000.0,63.0,119.0,2.0,1.0,0.0,Bekasi
2170000000.0,121.0,144.0,3.0,2.0,0.0,Bekasi
1450000000.0,225.0,131.0,4.0,3.0,0.0,Bekasi
1200000000.0,53.0,90.0,2.0,2.0,1.0,Bekasi
1450000000.0,225.0,131.0,4.0,3.0,0.0,Bekasi
1400000000.0,69.0,108.0,2.0,2.0,0.0,Bekasi
620000000.0,70.0,96.0,2.0,1.0,0.0,Bekasi
1450000000.0,110.0,144.0,2.0,2.0,0.0,Bekasi
1800000000.0,120.0,144.0,3.0,2.0,0.0,Bekasi
1600000000.0,260.0,160.0,3.0,2.0,0.0,Bekasi
3000000000.0,280.0,160.0,4.0,5.0,0.0,Bekasi
3000000000.0,280.0,160.0,4.0,5.0,0.0,Bekasi
1600000000.0,260.0,120.0,3.0,2.0,0.0,Bekasi
1800000000.0,120.0,144.0,3.0,2.0,0.0,Bekasi
1400000000.0,69.0,108.0,2.0,2.0,0.0,Bekasi
970000000.0,63.0,53.0,3.0,2.0,0.0,Bekasi
575000000.0,55.0,60.0,2.0,1.0,1.0,Bekasi
900000000.0,69.0,72.0,3.0,2.0,1.0,Bekasi
1250000000.0,110.0,60.0,3.0,3.0,0.0,Bekasi
525000000.0,42.0,72.0,3.0,1.0,1.0,Bekasi
510000000.0,38.0,70.0,2.0,1.0,1.0,Bekasi
895000000.0,120.0,92.0,2.0,2.0,0.0,Bekasi
2500000000.0,110.0,135.0,4.0,3.0,0.0,Bekasi
1650000000.0,180.0,165.0,4.0,3.0,2.0,Bekasi
690000000.0,75.0,94.0,1.0,1.0,1.0,Bekasi
750000000.0,54.0,78.0,2.0,1.0,0.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
42000000.0,40.0,60.0,2.0,2.0,0.0,Bekasi
1400000000.0,150.0,77.0,3.0,3.0,0.0,Bekasi
500000000.0,48.0,60.0,2.0,2.0,1.0,Bekasi
342000000.0,63.0,66.0,2.0,1.0,2.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
500000000.0,48.0,60.0,2.0,2.0,1.0,Bekasi
1150000000.0,70.0,90.0,2.0,1.0,0.0,Bekasi
599000000.0,60.0,72.0,2.0,1.0,1.0,Bekasi
1680000000.0,90.0,200.0,3.0,2.0,1.0,Bekasi
1560000000.0,105.0,121.0,3.0,3.0,2.0,Bekasi
1180000000.0,77.0,84.0,3.0,3.0,0.0,Bekasi
1180000000.0,77.0,84.0,3.0,2.0,0.0,Bekasi
990000000.0,60.0,95.0,3.0,2.0,0.0,Bekasi
800000000.0,91.0,84.0,3.0,2.0,0.0,Bekasi
718000000.0,40.0,72.0,2.0,1.0,1.0,Bekasi
1390000000.0,64.0,60.0,3.0,2.0,0.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
1200000000.0,115.0,86.0,4.0,3.0,0.0,Bekasi
1310000000.0,115.0,86.0,3.0,3.0,1.0,Bekasi
680000000.0,36.0,72.0,2.0,1.0,0.0,Bekasi
680000000.0,36.0,72.0,2.0,1.0,1.0,Bekasi
1200000000.0,90.0,165.0,3.0,2.0,1.0,Bekasi
680000000.0,36.0,72.0,2.0,1.0,1.0,Bekasi
680000000.0,36.0,72.0,2.0,1.0,1.0,Bekasi
1200000000.0,90.0,165.0,3.0,2.0,1.0,Bekasi
680000000.0,36.0,72.0,2.0,1.0,1.0,Bekasi
1200000000.0,90.0,165.0,3.0,2.0,1.0,Bekasi
390000000.0,36.0,60.0,2.0,1.0,1.0,Bekasi
455000000.0,41.0,70.0,2.0,1.0,0.0,Bekasi
1010000000.0,65.0,125.0,3.0,2.0,0.0,Bekasi
690000000.0,48.0,96.0,2.0,1.0,0.0,Bekasi
988000000.0,60.0,72.0,3.0,2.0,1.0,Bekasi
465000000.0,55.0,60.0,2.0,1.0,1.0,Bekasi
480000000.0,55.0,60.0,2.0,2.0,1.0,Bekasi
625000000.0,48.0,72.0,2.0,1.0,0.0,Bekasi
3000000000.0,310.0,210.0,4.0,4.0,0.0,Bekasi
1180000000.0,77.0,84.0,3.0,2.0,0.0,Bekasi
1080000000.0,90.0,105.0,2.0,2.0,1.0,Bekasi
1050000000.0,70.0,90.0,2.0,1.0,1.0,Bekasi
1080000000.0,90.0,105.0,2.0,2.0,0.0,Bekasi
1150000000.0,70.0,90.0,2.0,1.0,0.0,Bekasi
1080000000.0,90.0,105.0,2.0,2.0,1.0,Bekasi
1080000000.0,90.0,105.0,2.0,2.0,1.0,Bekasi
1150000000.0,70.0,90.0,2.0,1.0,0.0,Bekasi
1150000000.0,70.0,90.0,2.0,1.0,0.0,Bekasi
1150000000.0,70.0,90.0,2.0,1.0,0.0,Bekasi
1210000000.0,77.0,84.0,3.0,3.0,0.0,Bekasi
1180000000.0,77.0,84.0,3.0,3.0,0.0,Bekasi
1150000000.0,70.0,90.0,2.0,1.0,0.0,Bekasi
1180000000.0,77.0,84.0,3.0,3.0,0.0,Bekasi
968000000.0,52.0,89.0,2.0,1.0,0.0,Bekasi
1650000000.0,180.0,165.0,4.0,3.0,2.0,Bekasi
1180000000.0,77.0,84.0,3.0,3.0,0.0,Bekasi
720000000.0,55.0,80.0,2.0,1.0,0.0,Bekasi
1300000000.0,105.0,84.0,4.0,3.0,1.0,Bekasi
1190000000.0,84.0,101.0,3.0,2.0,0.0,Bekasi
1180000000.0,77.0,84.0,3.0,2.0,1.0,Bekasi
1300000000.0,77.0,87.0,3.0,3.0,0.0,Bekasi
600000000.0,55.0,80.0,2.0,1.0,1.0,Bekasi
500000000.0,45.0,70.0,2.0,1.0,0.0,Bekasi
1100000000.0,72.0,82.0,3.0,3.0,0.0,Bekasi
1280000000.0,130.0,92.0,3.0,3.0,1.0,Bekasi
3700000000.0,300.0,216.0,3.0,4.0,2.0,Bekasi
1070000000.0,88.0,95.0,4.0,2.0,1.0,Bekasi
476000000.0,36.0,52.0,2.0,1.0,0.0,Bekasi
968000000.0,120.0,70.0,3.0,3.0,2.0,Bekasi
884000000.0,65.0,70.0,3.0,2.0,1.0,Bekasi
1180000000.0,140.0,95.0,4.0,3.0,2.0,Bekasi
4040000000.0,136.0,183.0,5.0,4.0,0.0,Bekasi
1100000000.0,172.0,180.0,3.0,3.0,1.0,Bekasi
2250000000.0,250.0,175.0,3.0,2.0,1.0,Bekasi
1800000000.0,113.0,115.0,3.0,2.0,1.0,Bekasi
800000000.0,76.0,97.0,2.0,1.0,0.0,Bekasi
920000000.0,85.0,70.0,3.0,2.0,0.0,Bekasi
1970000000.0,165.0,91.0,4.0,4.0,0.0,Bekasi
1990000000.0,110.0,178.0,3.0,3.0,0.0,Bekasi
1250000000.0,150.0,154.0,4.0,3.0,0.0,Bekasi
1110000000.0,80.0,75.0,3.0,3.0,0.0,Bekasi
1870000000.0,165.0,91.0,3.0,4.0,0.0,Bekasi
1590000000.0,156.0,118.0,3.0,3.0,0.0,Bekasi
1620000000.0,156.0,118.0,3.0,3.0,0.0,Bekasi
500000000.0,47.0,64.0,2.0,1.0,0.0,Bekasi
750000000.0,54.0,78.0,2.0,1.0,0.0,Bekasi
600000000.0,53.0,65.0,2.0,2.0,0.0,Bekasi
799000000.0,70.0,97.0,2.0,1.0,1.0,Bekasi
799000000.0,70.0,97.0,2.0,1.0,1.0,Bekasi
799000000.0,70.0,97.0,2.0,1.0,1.0,Bekasi
959000000.0,80.0,96.0,3.0,2.0,0.0,Bekasi
774000000.0,70.0,70.0,3.0,2.0,0.0,Bekasi
995000000.0,90.0,80.0,3.0,2.0,1.0,Bekasi
1400000000.0,71.0,112.0,2.0,2.0,0.0,Bekasi
1050000000.0,90.0,72.0,3.0,2.0,2.0,Bekasi
975000000.0,70.0,100.0,3.0,2.0,0.0,Bekasi
620000000.0,50.0,72.0,2.0,1.0,1.0,Bekasi
959000000.0,80.0,72.0,3.0,2.0,0.0,Bekasi
875000000.0,66.0,100.0,3.0,2.0,0.0,Bekasi
600000000.0,50.0,72.0,2.0,1.0,1.0,Bekasi
807000000.0,63.0,42.0,3.0,2.0,1.0,Bekasi
580000000.0,50.0,60.0,3.0,1.0,1.0,Bekasi
679000000.0,45.0,63.0,2.0,1.0,1.0,Bekasi
900000000.0,80.0,72.0,3.0,2.0,0.0,Bekasi
849000000.0,90.0,70.0,3.0,2.0,2.0,Bekasi
880000000.0,66.0,75.0,3.0,2.0,0.0,Bekasi
695000000.0,58.0,65.0,2.0,2.0,0.0,Bekasi
465000000.0,36.0,60.0,2.0,1.0,0.0,Bekasi
857000000.0,62.0,42.0,2.0,2.0,1.0,Bekasi
650000000.0,45.0,72.0,2.0,1.0,1.0,Bekasi
145000000.0,140.0,175.0,4.0,3.0,0.0,Bekasi
675000000.0,71.0,99.0,3.0,3.0,0.0,Bekasi
350000000.0,57.0,66.0,2.0,1.0,1.0,Bekasi
350000000.0,57.0,66.0,2.0,1.0,1.0,Bekasi
2790000000.0,252.0,250.0,5.0,4.0,1.0,Bekasi
2790000000.0,252.0,250.0,5.0,4.0,1.0,Bekasi
2790000000.0,252.0,250.0,5.0,4.0,1.0,Bekasi
750000000.0,54.0,78.0,2.0,1.0,0.0,Bekasi
400000000.0,42.0,70.0,2.0,1.0,2.0,Bekasi
1350000000.0,133.0,175.0,4.0,3.0,1.0,Bekasi
1350000000.0,133.0,175.0,4.0,3.0,1.0,Bekasi
750000000.0,54.0,78.0,2.0,1.0,0.0,Bekasi
550000000.0,40.0,60.0,2.0,1.0,0.0,Bekasi
700000000.0,54.0,78.0,3.0,2.0,2.0,Bekasi
682000000.0,45.0,63.0,2.0,1.0,0.0,Bekasi
2300000000.0,300.0,200.0,3.0,3.0,0.0,Bekasi
1200000000.0,90.0,165.0,3.0,2.0,1.0,Bekasi
1250000000.0,65.0,112.0,3.0,2.0,1.0,Bekasi
2300000000.0,127.0,160.0,3.0,2.0,0.0,Bekasi
2200000000.0,127.0,160.0,3.0,2.0,0.0,Bekasi
410000000.0,36.0,60.0,2.0,1.0,0.0,Bekasi
1960000000.0,101.0,105.0,4.0,3.0,0.0,Bekasi
875000000.0,42.0,66.0,2.0,2.0,0.0,Bekasi
695000000.0,58.0,60.0,2.0,2.0,0.0,Bekasi
1800000000.0,170.0,140.0,4.0,3.0,0.0,Bekasi
1050000000.0,90.0,72.0,3.0,2.0,2.0,Bekasi
1050000000.0,90.0,72.0,3.0,2.0,2.0,Bekasi
1050000000.0,90.0,72.0,3.0,2.0,2.0,Bekasi
1050000000.0,90.0,72.0,3.0,2.0,2.0,Bekasi
1050000000.0,90.0,72.0,3.0,2.0,2.0,Bekasi
1250000000.0,100.0,105.0,3.0,2.0,0.0,Bekasi
1690000000.0,300.0,182.0,5.0,5.0,0.0,Bekasi
1620000000.0,170.0,92.0,3.0,3.0,1.0,Bekasi
735000000.0,47.0,84.0,2.0,1.0,0.0,Bekasi
1620000000.0,160.0,92.0,3.0,3.0,0.0,Bekasi
2100000000.0,200.0,120.0,4.0,2.0,0.0,Bekasi
799000000.0,48.0,92.0,2.0,1.0,0.0,Bekasi
3400000000.0,285.0,160.0,4.0,2.0,0.0,Bekasi
1250000000.0,165.0,123.0,3.0,3.0,0.0,Bekasi
1200000000.0,109.0,77.0,3.0,2.0,0.0,Bekasi
1050000000.0,90.0,72.0,3.0,2.0,0.0,Bekasi
1350000000.0,205.0,160.0,3.0,2.0,0.0,Bekasi
700000000.0,46.0,78.0,3.0,2.0,2.0,Bekasi
2200000000.0,154.0,154.0,3.0,2.0,1.0,Bekasi
703000000.0,55.0,75.0,2.0,1.0,1.0,Bekasi
1050000000.0,108.0,72.0,3.0,2.0,0.0,Bekasi
1050000000.0,108.0,72.0,3.0,2.0,1.0,Bekasi
950000000.0,87.0,66.0,3.0,2.0,0.0,Bekasi
2190000000.0,150.0,136.0,3.0,3.0,0.0,Bekasi
950000000.0,87.0,66.0,3.0,2.0,1.0,Bekasi
999000000.0,99.0,75.0,3.0,2.0,1.0,Bekasi
2100000000.0,120.0,104.0,3.0,3.0,0.0,Bekasi
545000000.0,42.0,72.0,2.0,1.0,0.0,Bekasi
725000000.0,121.0,80.0,3.0,2.0,1.0,Bekasi
463000000.0,29.0,60.0,2.0,1.0,0.0,Bekasi
575000000.0,165.0,98.0,4.0,2.0,0.0,Bekasi
320000000.0,135.0,108.0,2.0,1.0,1.0,Bekasi
468000000.0,45.0,72.0,2.0,1.0,1.0,Bekasi
168000000.0,29.0,60.0,2.0,1.0,1.0,Bekasi
875000000.0,75.0,90.0,3.0,1.0,0.0,Bekasi
496000000.0,36.0,72.0,2.0,1.0,0.0,Bekasi
779000000.0,63.0,53.0,3.0,2.0,0.0,Bekasi
800000000.0,69.0,90.0,3.0,1.0,1.0,Bekasi
800000000.0,69.0,90.0,3.0,1.0,1.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
1600000000.0,200.0,186.0,4.0,3.0,1.0,Bekasi
1150000000.0,140.0,105.0,4.0,3.0,0.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
42000000.0,40.0,60.0,2.0,2.0,0.0,Bekasi
1350000000.0,150.0,180.0,2.0,2.0,1.0,Bekasi
2200000000.0,230.0,210.0,4.0,2.0,0.0,Bekasi
2000000000.0,71.0,118.0,3.0,3.0,0.0,Bekasi
625000000.0,48.0,75.0,2.0,1.0,0.0,Bekasi
1000000000.0,196.0,150.0,4.0,2.0,1.0,Bekasi
1600000000.0,100.0,119.0,2.0,2.0,1.0,Bekasi
680000000.0,36.0,72.0,2.0,1.0,1.0,Bekasi
490000000.0,45.0,72.0,2.0,1.0,0.0,Bekasi
665000000.0,54.0,97.0,3.0,1.0,0.0,Bekasi
445000000.0,54.0,97.0,2.0,1.0,0.0,Bekasi
570000000.0,54.0,97.0,2.0,1.0,1.0,Bekasi
1050000000.0,84.0,119.0,2.0,1.0,0.0,Bekasi
1500000000.0,180.0,250.0,2.0,1.0,1.0,Bekasi
665000000.0,54.0,97.0,3.0,1.0,0.0,Bekasi
665000000.0,54.0,97.0,3.0,1.0,0.0,Bekasi
950000000.0,87.0,66.0,3.0,2.0,0.0,Bekasi
650000000.0,60.0,72.0,2.0,1.0,1.0,Bekasi
975000000.0,60.0,120.0,3.0,1.0,0.0,Bekasi
799000000.0,70.0,97.0,2.0,1.0,1.0,Bekasi
3700000000.0,300.0,216.0,3.0,4.0,2.0,Bekasi
950000000.0,87.0,66.0,3.0,2.0,0.0,Bekasi
350000000.0,36.0,60.0,2.0,1.0,0.0,Bekasi
524000000.0,66.0,40.0,2.0,1.0,0.0,Bekasi
325000000.0,45.0,60.0,2.0,1.0,1.0,Bekasi
325000000.0,45.0,60.0,2.0,1.0,1.0,Bekasi
335000000.0,45.0,60.0,3.0,1.0,1.0,Bekasi
310000000.0,45.0,60.0,2.0,1.0,1.0,Bekasi
1500000000.0,88.0,120.0,3.0,2.0,0.0,Bekasi
1500000000.0,88.0,120.0,3.0,2.0,0.0,Bekasi
6640000000.0,39.0,72.0,2.0,1.0,0.0,Bekasi
327000000.0,61.0,36.0,2.0,1.0,0.0,Bekasi
332000000.0,61.0,36.0,2.0,1.0,2.0,Bekasi
395000000.0,40.0,60.0,2.0,1.0,0.0,Bekasi
168000000.0,29.0,60.0,2.0,1.0,0.0,Bekasi
480000000.0,72.0,72.0,2.0,1.0,0.0,Bekasi
395000000.0,40.0,60.0,2.0,1.0,0.0,Bekasi
360000000.0,62.0,62.0,2.0,1.0,1.0,Bekasi
350000000.0,45.0,72.0,2.0,1.0,1.0,Bekasi
370000000.0,75.0,60.0,3.0,2.0,0.0,Bekasi
320000000.0,45.0,60.0,2.0,1.0,0.0,Bekasi
853000000.0,60.0,55.0,2.0,1.0,0.0,Bekasi
550000000.0,36.0,60.0,2.0,1.0,0.0,Bekasi
2200000000.0,230.0,162.0,4.0,4.0,0.0,Bekasi
1950000000.0,200.0,220.0,4.0,2.0,1.0,Bekasi
1960000000.0,85.0,90.0,3.0,2.0,0.0,Bekasi
1150000000.0,150.0,90.0,4.0,2.0,0.0,Bekasi
1800000000.0,84.0,120.0,2.0,3.0,0.0,Bekasi
1400000000.0,150.0,130.0,3.0,2.0,1.0,Bekasi
1400000000.0,150.0,130.0,3.0,2.0,1.0,Bekasi
1250000000.0,81.0,90.0,3.0,2.0,0.0,Bekasi
850000000.0,110.0,90.0,2.0,1.0,0.0,Bekasi
1850000000.0,135.0,215.0,3.0,2.0,0.0,Bekasi
1080000000.0,90.0,105.0,2.0,2.0,1.0,Bekasi
1200000000.0,90.0,165.0,3.0,2.0,1.0,Bekasi
390000000.0,36.0,73.0,2.0,1.0,1.0,Bekasi
2750000000.0,211.0,225.0,6.0,4.0,1.0,Bekasi
2750000000.0,128.0,160.0,4.0,4.0,0.0,Bekasi
590000000.0,150.0,153.0,3.0,2.0,1.0,Bekasi
990000000.0,123.0,220.0,3.0,2.0,0.0,Bekasi
2000000000.0,96.0,216.0,2.0,1.0,1.0,Bekasi
635000000.0,86.0,55.0,2.0,1.0,0.0,Bekasi
475000000.0,41.0,78.0,2.0,1.0,1.0,Bekasi
525000000.0,80.0,60.0,3.0,2.0,0.0,Bekasi
525000000.0,80.0,60.0,3.0,2.0,0.0,Bekasi
375000000.0,60.0,60.0,3.0,2.0,0.0,Bekasi
1100000000.0,90.0,65.0,3.0,2.0,0.0,Bekasi
2000000000.0,100.0,216.0,2.0,1.0,1.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
920000000.0,85.0,113.0,4.0,3.0,0.0,Bekasi
774000000.0,70.0,70.0,3.0,2.0,0.0,Bekasi
1700000000.0,160.0,125.0,3.0,2.0,0.0,Bekasi
2800000000.0,300.0,209.0,4.0,4.0,1.0,Bekasi
2800000000.0,300.0,209.0,6.0,5.0,1.0,Bekasi
1700000000.0,150.0,102.0,3.0,2.0,1.0,Bekasi
2800000000.0,300.0,209.0,6.0,5.0,2.0,Bekasi
1250000000.0,80.0,98.0,2.0,2.0,1.0,Bekasi
2850000000.0,180.0,181.0,3.0,3.0,0.0,Bekasi
1800000000.0,135.0,90.0,3.0,3.0,0.0,Bekasi
1000000000.0,70.0,90.0,2.0,2.0,0.0,Bekasi
800000000.0,54.0,90.0,2.0,1.0,1.0,Bekasi
895000000.0,120.0,120.0,3.0,1.0,0.0,Bekasi
450000000.0,60.0,60.0,1.0,1.0,0.0,Bekasi
1500000000.0,88.0,120.0,3.0,2.0,0.0,Bekasi
590000000.0,54.0,90.0,2.0,1.0,0.0,Bekasi
590000000.0,54.0,90.0,2.0,1.0,0.0,Bekasi
1500000000.0,88.0,120.0,2.0,1.0,0.0,Bekasi
1250000000.0,130.0,105.0,3.0,2.0,1.0,Bekasi
1250000000.0,130.0,105.0,3.0,2.0,1.0,Bekasi
970000000.0,63.0,56.0,3.0,2.0,0.0,Bekasi
779000000.0,63.0,53.0,3.0,2.0,0.0,Bekasi
550000000.0,54.0,90.0,2.0,1.0,0.0,Bekasi
550000000.0,54.0,90.0,2.0,1.0,0.0,Bekasi
375000000.0,60.0,72.0,2.0,1.0,2.0,Bekasi
550000000.0,100.0,120.0,3.0,2.0,0.0,Bekasi
550000000.0,35.0,75.0,2.0,1.0,0.0,Bekasi
455000000.0,45.0,72.0,2.0,1.0,0.0,Bekasi
900000000.0,90.0,120.0,2.0,1.0,0.0,Bekasi
390000000.0,36.0,60.0,3.0,2.0,0.0,Bekasi
967000000.0,68.0,82.0,3.0,3.0,1.0,Bekasi
1500000000.0,150.0,240.0,5.0,2.0,1.0,Bekasi
2300000000.0,180.0,200.0,5.0,4.0,3.0,Bekasi
